handsize,play_draw,pred
7,1,3.27
7,1,4.03
7,1,5.54
7,1,6.35
7,1,3.94
7,1,3.35
7,1,4.13
7,1,5.02
7,1,3.32
7,1,3.75
7,1,3.98
7,1,3.22
7,1,3.87
7,1,3.93
7,1,3.03
7,1,4.58
7,1,3.77
7,1,6.16
7,1,6.57
7,1,3.99
7,1,3.21
7,1,3.01
7,1,3.98
7,1,3.64
7,1,4.29
7,1,3.77
7,1,3.88
7,1,3.02
7,1,3.04
7,1,4.8
7,1,3.0
7,1,4.16
7,1,3.22
7,1,6.56
7,1,4.25
7,1,4.41
7,1,3.91
7,1,4.58
7,1,4.18
7,1,4.0
7,1,3.22
7,1,4.03
7,1,3.0
7,1,3.85
7,1,3.31
7,1,3.55
7,1,5.16
7,1,4.11
7,1,4.77
7,1,3.02
7,1,3.02
7,1,3.02
7,1,3.93
7,1,3.04
7,1,3.03
7,1,4.05
7,1,3.59
7,1,6.42
7,1,3.16
7,1,4.88
7,1,3.08
7,1,3.34
7,1,4.16
7,1,4.79
7,1,4.7
7,1,4.03
7,1,3.05
7,1,3.9
7,1,5.16
7,1,3.99
7,1,4.06
7,1,5.72
7,1,5.2
7,1,4.28
7,1,3.77
7,1,4.41
7,1,5.49
7,1,3.66
7,1,5.0
7,1,3.2
7,1,6.5
7,1,3.53
7,1,3.35
7,1,3.03
7,1,4.19
7,1,4.3
7,1,3.78
7,1,3.03
7,1,4.03
7,1,3.34
7,1,7.11
7,1,3.92
7,1,5.1
7,1,4.7
7,1,4.88
7,1,4.25
7,1,4.28
7,1,4.95
7,1,4.26
7,1,3.32
7,1,4.18
7,1,4.17
7,1,4.23
7,1,3.9
7,1,3.71
7,1,3.2
7,1,3.02
7,1,3.84
7,1,3.02
7,1,3.18
7,1,3.79
7,1,4.02
7,1,3.0
7,1,3.03
7,1,5.27
7,1,3.78
7,1,4.93
7,1,4.01
7,1,4.94
7,1,6.28
7,1,3.86
7,1,3.65
7,1,3.04
7,1,3.87
7,1,4.55
7,1,4.21
7,1,5.49
7,1,3.64
7,1,3.41
7,1,3.03
7,1,3.87
7,1,4.18
7,1,3.02
7,1,3.92
7,1,3.03
7,1,6.11
7,1,3.74
7,1,4.15
7,1,3.01
7,1,4.29
7,1,3.87
7,1,4.16
7,1,3.02
7,1,5.08
7,1,3.95
7,1,3.02
7,1,3.03
7,1,3.01
7,1,4.23
7,1,3.84
7,1,4.09
7,1,3.04
7,1,4.16
7,1,3.17
7,1,3.01
7,1,4.91
7,1,3.01
7,1,6.54
7,1,5.15
7,1,3.05
7,1,4.05
7,1,3.22
7,1,3.3
7,1,3.03
7,1,4.04
7,1,3.53
7,1,3.96
7,1,4.15
7,1,4.68
